text,old_EV,new_EV,EV_reason,old_AS,new_AS,AS_reason,changed
Women report feeling more empowered. SHG members seem to have increased confidence. Income appears to have improved based on member testimonials. Family dynamic,0,0,"Claims lack specifics: no data, metrics, research methods, or citations provided.",0,0,"No explicit conditions, dependencies, or acknowledged uncertainties stated.",
College students in tier-two cities across Maharashtra need career mentorship platforms connecting them with industry professionals when campus placement proces,1,1,"Pilot data reported: 467 students, 34% placement increase.",1,1,Explicitly states student commitment requirement and unexamined long-term effects.,
Children with disabilities lack inclusive education opportunities. Our teacher training programme has certified 200 educators in special needs pedagogy across T,1,1,Classroom observations reported; 200 educators trained (outcome-paired scale).,1,1,Explicitly states schools must allocate resources; named dependency for success.,
Integrating with WhatsApp will lower the barrier to adoption for kirana shop owners,0,0,"Claims adoption benefit without citing research, data, or user evidence.",1,0,No explicit statement of required conditions or dependencies for success.,YES
Textile workers will access and read rights information content despite exhaustion after long factory shifts. Factory employees will remember legal provisions a,0,0,"Claims about worker behavior and memory lack supporting research, data, or observations.",1,0,"No explicit acknowledgment of dependencies, conditions, or uncertainties stated.",YES
Longan farmers face limited consumer awareness for exotic tropical fruit. Positioning targets premium gift markets. Our programme covers 35 growers in Kerala's ,1,1,Consumer survey with 35% awareness finding cited.,1,1,Explicitly states assumption: farmers will maintain quality grading.,
"Our teacher training programme covers pedagogical methods for 500 government school teachers. Improved teaching practices should benefit the 25,000 students the",0,0,Scale and reach described; no outcome or finding reported.,0,1,Explicitly acknowledges long-term outcomes unmeasured; names limitation.,YES
Night security guards in commercial buildings across Pune need occupational health monitoring platforms when shift work creates health impacts neither employers,1,1,Pilot with 214 guards; 57% awareness increase reported.,1,1,Explicitly states guards must commit to tracking; depends on employment practice changes.,
One new mother in a Gujarat slum said family members give conflicting advice about infant feeding practices. Vernacular health content will therefore provide re,0,1,One mother's observation cited; supports conflicting-advice claim.,1,1,Assumes vernacular content builds trust and nutrition guidance improves outcomes.,YES
Smallholder farmers need irrigation access during dry season. Rural women need childcare facilities for economic participation. Tribal communities need land tit,0,0,"Claims stated without supporting data, research, or observations.",1,0,Needs are asserted as facts; no explicit assumptions or dependencies named.,YES
"The nutrition intervention reduces child malnutrition through integrated services combining supplementary feeding, growth monitoring, and mother education. Our ",0,0,"Claims effectiveness without citing research, data, or prior findings.",0,0,"No explicit statement of dependencies, conditions, or acknowledged uncertainties.",
Auto drivers will join cooperatives and accept collective governance over independent platform choices for passengers. Traditional transport workers will share ,0,0,Claims about driver behavior and willingness lack supporting research or data.,1,0,Prerequisites unstated; no explicit acknowledgment of what must be true for success.,YES
Government school teachers in Gujarat need engaging digital content that makes classroom learning more interactive. Educators across the country want better tea,0,0,"Claims about teacher needs lack research, data, or observation support.",1,0,"No explicit conditions, dependencies, or limitations named for design success.",YES
We want to create a platform that helps gig economy workers access social security benefits and build financial stability. Our goal is making informal work more,0,0,"No research, data, or prior work cited; only stated goal.",1,0,"No explicit conditions, dependencies, or acknowledged uncertainties named.",YES
Rural patients in Rajasthan travel 50+ km for basic healthcare consultations,0,1,Specific observation: rural patients travel 50+ km for basic healthcare.,0,0,No explicit assumptions or dependencies named.,YES
Avocado farmers face post-harvest quality loss during transport. Cold chain infrastructure preserves fruit condition. Our programme covers 180 growers in Tamil ,1,1,Market tracking data shows 35% price premium for cold chain produce.,1,1,Explicitly states assumption: farmers will aggregate produce at collection centres.,
"Our organic farming programme increases yields. Two farmers in our pilot mentioned better harvests this season. Weather was also favourable, which may have cont",0,0,"Anecdotal mentions from two farmers; no data, measurements, or controlled comparison.",0,1,Explicitly acknowledges weather as confounding factor; names unstated dependency.,YES
Chronic kidney disease patients at district hospitals in Rajasthan need dietary management guidance when nephrology specialist scarcity means most patients rece,1,1,Controlled study with 189 patients showing 23% slowing of decline cited.,1,1,Explicitly states unexamined effects; names design scope limits (stage 3–4 only).,
Multiple acyl-CoA dehydrogenase deficiency patients need riboflavin supplementation and fat restriction. Our metabolic disorder programme serves 18 patients acr,1,1,Cites metabolic monitoring finding: 60% of riboflavin-responsive patients improved.,1,1,Explicitly states two assumptions: family compliance and specialty care accessibility.,
Construction workers face theft risks but how digital storage leads to improved financial security lacks logical development. We believe secure accounts will na,0,0,"Claims lack support; no research, data, or observations cited.",1,1,Explicitly states context assumes workers have Aadhaar cards for KYC.,
We assume farmers will maintain quality standards for organic certification. Our certification support programme covers 300 growers in Sikkim's East district.,0,0,Scale described (300 growers) without outcome or finding reported.,1,1,Explicitly states assumption: farmers will maintain quality standards.,
Better time management tools will transform education outcomes across the country,0,0,"No research, data, or prior work cited to support the claim.",0,0,"No explicit conditions, dependencies, or acknowledged uncertainties stated.",
Handloom weaver families in Pochampally face income instability from seasonal demand fluctuations. Providing year-round employment through product diversificati,0,0,"Claims lack support: no data on income instability, no research on diversification efficacy, testimonials unnamed.",1,1,Explicitly assumes export linkages will offer premium prices and diversification enables year-round employment.,
"Our solar electrification programme has installed systems in 5,000 rural households. Energy access has been established. Productivity improvements and income ge",0,0,"Scale (5,000 households) alone is deployment scope, not outcome evidence. No findings reported.",0,0,"No explicit assumptions, dependencies, or design limitations named.",
Our assessment framework involves pre-test and post-test measurements.,1,0,Names a method; no findings or results reported.,0,0,No explicit statement of conditions or dependencies for success.,YES
Paddy farmers in coastal Odisha face salinity intrusion destroying crops during cyclone season. Salt-tolerant rice varieties enable cultivation in brackish cond,1,1,University research verified 60% yield recovery in saline soils; prior work cited.,1,1,"Depends on: farmers adopting varieties, insurance covering losses, seed availability.",
This agricultural advisory service is attempting to help farmers make better decisions. It provides weather forecasts and crop recommendations.,0,0,"No research, data, or prior work cited to support claims.",0,0,"No explicit assumptions, dependencies, or limitations named.",
Through interviews we will discover the insights that will revolutionise the sector,0,0,Prospective research plan stated; no findings or data presented yet.,0,0,No explicit assumptions named; only a planned method described.,
Impact might exist. Something appears happening. Results could be materialising. The situation seems different.,0,0,"No observations, data, research, or findings cited. Only vague assertions.",0,0,"No explicit conditions, dependencies, or acknowledged prerequisites stated.",
Application status tracking reduces citizen anxiety levels by fifty-three percent during government benefit processing. Survey of one thousand two hundred ratio,1,1,"Survey of 1,200 applicants with reported outcomes: 53% anxiety reduction, 67% fewer visits.",0,0,"No explicit conditions, dependencies, or acknowledged uncertainties stated.",
The programme will permanently end all migration distress across India. Every family will prosper in their home villages. Universal rural transformation will be,0,0,"Claims without support; no research, data, or prior work cited.",0,0,No explicit assumptions named; prerequisites and conditions unstated.,
Our vaccination programme achieved 97% full immunisation coverage from baseline of 58%. Government HMIS data verified through independent household surveys. Com,1,1,"Cites verified data, independent surveys, and comparison group outcome.",0,0,No explicit conditions or dependencies named for design success.,
Congenital adrenal hyperplasia children need hormone replacement for survival. Our paediatric endocrine programme serves 30 patients across Tamil Nadu. The prog,1,1,Growth monitoring finding: 75% age-appropriate development reported.,1,1,Explicitly states two assumptions: family medication adherence and government hospital stock consistency.,
Our education intervention improves learning outcomes for government school students. Teachers receive 5-day training workshops on new pedagogy. Classroom obser,1,0,"Claims improvement but cites no data, findings, or research supporting the claim.",0,0,Describes activities and scale but does not explicitly name conditions or dependencies for success.,YES
Flower vendors at Chennai temple complexes need demand forecasting tools to optimise daily inventory when festival calendars create unpredictable demand spikes ,1,1,Pilot with 53 vendors across 4 temples; 38% spoilage reduction; 19% revenue gain reported.,1,1,"Explicitly states assumptions about temple schedules, weather modeling, and vendor smartphone access requirements.",
Research shows 40% of small retailers struggle with inventory. We interviewed 5 shop owners who confirmed this. Our POS system will transform how millions of ki,0,1,Cites research statistic (40%) and user interviews (5 shop owners).,0,0,No explicit assumptions or dependencies named. Claims presented as facts.,YES
Argininosuccinate synthetase deficiency patients require protein restriction and citrulline supplementation. Our metabolic disorder programme serves 28 patients,1,1,Cites amino acid monitoring outcome: 70% controlled levels.,1,1,Explicitly states two assumptions: families maintain protocols; specialty care accessible.,
The farmer producer organisation expects members to sell through collective channels. Our FPO aggregates produce from 600 farmers in Tamil Nadu. Higher prices d,0,0,Scale stated (600 farmers) without outcome data. No finding reported.,1,0,No explicit conditions or dependencies named for design success.,YES
Visually impaired students lack accessible study materials. Our audio textbook library could support their education.,0,0,"Claims lack without supporting data, research, or observations.",1,0,No explicit conditions or dependencies named for design success.,YES
Our water quality monitoring system might help rural households access safer water. Sensors detect contaminants and alert users via SMS. The connection between ,0,0,"No research, data, or prior work cited to support claims.",1,1,Text explicitly acknowledges gap: connection between alerts and clean water access remains unexplained.,
We assume small retailers will maintain cold chain for dairy products. Our milk processing cooperative serves 800 producer households in Maharashtra's Sangli di,0,0,Scale described (800 households) without outcome or finding.,1,1,Explicitly states assumption about cold chain maintenance by retailers.,
Our video calling feature demonstrates that affordable connectivity increases family contact for migrant workers. Usage analysis across two thousand three hundr,1,1,"Usage analysis of 2,300 families with reported outcomes: 400% contact increase, 38% wellbeing improvement.",1,1,Explicitly states workers need smartphones; families need video-capable devices. Design limitation: textile workers only,
The solution will ensure safe and hygienic street food for all,0,0,"No research, data, or prior work cited to support claim.",0,0,"No explicit conditions, dependencies, or acknowledged uncertainties stated.",
Financial literacy has improved among programme participants. Women say they manage household budgets better now. Group facilitators observe more confident fina,0,1,Reports observations from women and facilitators; cites participant feedback on budget management and decision-making.,0,0,"No explicit conditions, dependencies, or acknowledged uncertainties stated.",YES
"Our menstrual hygiene programme distributes reusable pads to 3,000 adolescent girls in Rajasthan. We assume girls will use reusable products despite cultural pr",0,0,"Scale (3,000 girls) describes deployment reach, not outcome or finding.",1,1,Explicitly states assumption: girls will use reusable products despite cultural preferences.,
Elderly diabetic patients in Gujarat need hypoglycaemia awareness training to recognise and respond to low blood sugar episodes when reduced symptom perception ,1,1,Cites programme with 132 patients; reports 56% and 47% outcome improvements.,1,1,Explicitly states 'We assume that awareness enables timely response' and names design scope limits.,
Our solar lighting solution provides study hours for rural students. Extended study time will improve academic performance. Better grades will increase college ,0,0,"Claims lack support; no research, data, or observations cited.",1,0,No explicit acknowledgment of dependencies or conditions for success.,YES
"The programme assumes pregnant women will attend four antenatal checkups as recommended. Our maternal health programme serves 2,000 women annually in Chhattisga",0,0,Scale/reach alone without outcome data. No findings reported.,1,1,Explicitly states assumption: pregnant women will attend four checkups.,
"Birth registration ensures children's access to social services and legal identity. Our programme registers 5,000 unregistered children in Bihar. Documentation ",0,0,"Programme scale (5,000 children) stated without reported outcomes or findings.",1,0,No explicit assumptions named; dependencies and conditions unstated.,YES
The research will involve structured interviews with key stakeholders.,1,0,Planned research method named; no findings or results reported yet.,0,0,"No explicit assumptions, dependencies, or conditions for success stated.",YES
Evidence suggests growing awareness and willingness to adopt sustainable practices among urban consumers,0,0,"Claims evidence exists but provides no actual data, research, or citations.",1,0,No explicit assumptions named; prerequisites and conditions unstated.,YES
"According to activists, street vendors face systematic harassment from authorities",0,1,References activists as source of observation/claim about vendor harassment.,0,0,No explicit assumptions or dependencies named.,YES
"System of Rice Intensification methods increase yields while reducing water and seed inputs. Our training programme covers 2,000 farmers in Tamil Nadu. Modified",0,0,Claims about SRI methods lack citations. Programme scale alone is not outcome evidence.,1,0,"No explicit conditions, dependencies, or limitations named for design success.",YES
Renewable energy adoption is critical for India's sustainable future. Our solar financing scheme was designed based on discussions with one solar panel installe,0,0,"One installer discussion is anecdotal, not systematic research or data.",0,0,"No explicit conditions, dependencies, or uncertainties named.",
The programme assumes that farmers will adopt recommended practices after training. We believe that exposure to demonstrations will change cultivation methods. ,0,0,Claims about adoption and behaviour change stated without supporting data or research.,1,1,"Explicitly names three assumptions: farmer adoption post-training, demonstration-driven behaviour change, peer replicati",
Our water purification tablets reduce waterborne diseases. Users who tried the product said it tasted better than untreated water.,0,1,User feedback cited: 'Users who tried the product said it tasted better',0,0,No explicit assumptions named; prerequisites unstated.,YES
"Kirana shop owners with monthly revenue under Rs 50,000 in old Ahmedabad",0,0,"Describes target population; no research, data, or findings cited.",0,0,"No explicit assumptions, dependencies, or constraints named.",
Cempedak farmers face limited consumer awareness for jackfruit relative. Positioning targets exotic fruit enthusiasts. Our programme covers 35 growers in Kerala,1,1,Consumer survey with 20% awareness finding cited; programme scale with outcome context.,1,1,Explicitly states 'We assume farmers will aggregate supply' as named dependency.,
Artisanal fishing communities face multiple pressures across Indian coasts. Industrial trawlers encroach on traditional fishing grounds. Climate change affects ,0,0,"Claims stated without citations, data, research, or specific findings.",0,0,No explicit assumptions named; conditions for success not stated.,
We address water and sanitation challenges in underserved areas. Infrastructure and behaviour change interventions are implemented. Many households have been re,0,0,"Claims lack specifics: no data, research, or findings cited. Scale and satisfaction stated without numbers or evidence.",0,0,No explicit assumptions named. Prerequisites and dependencies remain unstated and unacknowledged.,
Artisanal jewellers in Jaipur need gemstone certification access to verify stone quality when purchasing from wholesalers who may misrepresent grades. Study wit,1,1,Study with 67 jewellers; 41% reduction in returns cited.,1,1,Explicitly states certification covers grade verification only; cost absorption named; investigation needed on price-dem,
"Our education programme reaches 20,000 students in Madhya Pradesh. Teachers feel that learning outcomes are improving. Principals observe better classroom engag",0,0,"Scale (20,000 students) stated without outcome data. Feelings, observations, feedback reported but not quantified.",0,0,"No explicit conditions, dependencies, or limitations named. No acknowledged uncertainties stated.",
"Clean cooking adoption reduces indoor air pollution and respiratory illness. Our programme distributes improved cookstoves to 4,000 households in Odisha. Smoke ",0,0,"Claims stated without supporting data, research, or findings cited.",1,0,No explicit assumptions named; dependencies and conditions unstated.,YES
Construction workers in Surat probably need safe storage solutions for daily wages earned on building sites. Labourers in informal employment appear to face the,0,0,"Claims about worker needs and theft risks lack supporting data, research, or observations.",0,1,Explicitly acknowledges reasoning gap and underdeveloped connection between features and outcomes.,YES
Sambalpuri ikat weavers face tie-dye technique labour intensity. Our productivity programme supports 100 artisans in Odisha's Bargarh district. Pre-designed tem,0,0,Scale (100 artisans) stated without outcome or finding.,0,0,"No explicit conditions, dependencies, or limitations named.",
Our work focuses on disadvantaged communities. The target area includes backward regions. Beneficiaries represent deprived sections. Coverage prioritises exclud,0,0,"No data, research, observations, or findings cited. Only assertions of scope.",0,0,"No explicit assumptions, dependencies, or conditions for success named.",
Rural patients will trust video consultations as adequate substitutes for in-person doctor examinations and interactions. Community members will overcome cultur,0,0,"Claims about patient trust and cultural preferences stated without research, data, or observation.",1,1,Explicitly names two dependencies: patient trust in video consultations and overcoming cultural preferences for physical,
The design presumes that simplified language and visual explanations will make complex health information accessible to low-literacy populations.,0,0,"Claim asserted without research, data, or prior work cited.",1,1,Explicitly names prerequisite: simplified language and visuals enable accessibility for low-literacy groups.,
Storytelling enhances message retention. Public health campaigns using narrative formats achieve better recall of prevention messages among target audiences.,0,0,"Claims stated as facts; no data, studies, or observations cited.",1,0,No explicit assumptions named; prerequisites unstated.,YES
"The watershed programme aims to transform water security for 100,000 farming families across drought-prone Bundelkhand. Check dams and contour bunding have been",1,0,Scale and deployment described; no outcome or finding reported.,1,0,"No explicit conditions, dependencies, or uncertainties named.",YES
Rural elderly can't read. Our voice interface enables them.,0,0,"Claim about rural elderly literacy stated without data, research, or observation.",0,0,"No explicit statement of dependencies, conditions, or acknowledged uncertainties.",
Artisans lack access to contemporary markets. Our e-commerce platform showcases products from 500 craft clusters across India. Pilot testing with 50 users confi,0,1,Pilot testing with 50 users confirmed checkout usability finding.,1,1,Explicitly states artisans must be willing to meet quality standards.,YES
The programme assumes that parents will send children to bridge education classes. We expect that transportation support will address distance barriers. The int,0,0,"No research, data, observations, or prior work cited to support claims.",1,1,"Explicitly states three assumptions: parents will send children, transportation addresses barriers, flexible timing acco",
Parents of autistic children need specialised therapy support. Our AI-assisted therapy companion aims to fill this gap by providing exercises between profession,0,0,"Claims need stated without research, data, or prior work cited.",1,1,Explicitly states dependency: families must have consistent internet access.,
Lactating mothers need adequate nutrition for milk production. Our supplementary feeding programme serves 500 mothers through anganwadi centres in Chhattisgarh.,0,0,Scale (500 mothers) stated without outcome or finding reported.,1,0,"No explicit conditions, dependencies, or limitations named.",YES
This research examines credit scoring alternatives for informal sector workers without documented income. FinTech experiments with alternative data show promise,0,1,References FinTech experiments with alternative data; prior work mentioned.,1,1,Acknowledges regulatory frameworks are still developing; named constraint.,YES
Migrant families from Bihar need affordable ways to stay connected with relatives in their home villages. Workers separated from loved ones for months experienc,0,0,"Claims about migrant needs and isolation stated without research, data, or user interviews cited.",1,0,"No explicit conditions, dependencies, or limitations named for the design to work.",YES
Glycogen debranching enzyme deficiency patients require high protein diet and frequent meals. Our metabolic disorder programme serves 30 patients across Tamil N,1,1,Echocardiography finding (75% stable cardiac function) is reported outcome data.,1,1,Explicitly states two assumptions: families maintain schedules; specialty monitoring accessible.,
Guava farmers face fruit canker affecting marketability. Our disease management programme covers 200 growers in Uttar Pradesh's Allahabad district. Copper spray,0,0,Scale described (200 growers) without reported outcomes or findings.,0,0,"No explicit conditions, dependencies, or uncertainties named.",
Hartnup disease patients require nicotinamide supplementation and protein support. Our dermatology programme serves 25 patients across Karnataka. The programme ,1,1,Amino acid analysis finding reported for 80% of treated patients.,1,1,Explicitly states two assumptions: sun protection maintenance and specialty testing accessibility.,
This programme will completely solve all digital divide challenges in India forever. Every citizen will have perfect internet access instantly. Universal digita,0,0,"No data, research, observations, or prior work cited to support claims.",0,0,"No explicit assumptions, dependencies, or conditions for success named.",
Elderly patients with chronic conditions need support managing complex medication regimens,0,0,"Assertion without research, data, or observation cited.",0,0,"No explicit statement of conditions, dependencies, or acknowledged uncertainties.",
Community features will reduce isolation among hostel students,0,0,"Claim asserted without research, data, or prior work cited.",1,0,"No explicit conditions, dependencies, or uncertainties named.",YES
Adolescent girls need better information about online safety risks,0,0,"Assertion without supporting data, research, or observation.",0,0,"No explicit statement of conditions, dependencies, or acknowledged uncertainties.",
Cemetery space in Indian cities is becoming critically scarce. Christian and Muslim communities face burial ground shortages. Land encroachment threatens existi,0,0,"Claims stated without data, research, or specific observations cited.",0,0,"No explicit conditions, dependencies, or acknowledged uncertainties named.",
The tool will preserve traditional crafts for future generations,0,0,"No research, data, or prior work cited to support preservation claim.",0,0,"No explicit conditions, dependencies, or acknowledged uncertainties stated.",
Coaching students need peer support networks beyond competitive environments,0,0,"Assertion without research, data, or observation cited.",1,0,No explicit statement of dependencies or conditions for success.,YES
The sanitation programme assumes households will construct and use toilets once subsidies are provided. We serve 200 villages in Rajasthan. The intervention req,0,0,Scale (200 villages) stated without outcome data or findings.,1,1,Explicitly names two assumptions: subsidy-driven construction and behaviour-change requirement.,
Gig economy workers face financial instability due to unpredictable demand,0,0,"Assertion without cited research, data, or observations.",0,0,"No explicit statement of conditions, dependencies, or acknowledged uncertainties.",
Neighbourhood grocers lose customers to online platforms. Our hyperlocal delivery aggregator addresses this by digitising local stores. Shop owners will list ac,0,0,"Claims problem and solution without citing research, data, or observations.",1,0,"No explicit statement of dependencies, conditions, or acknowledged uncertainties.",YES
Our transit integration app serves metro commuters travelling from Chandkheda to central Ahmedabad destinations. The information covers auto-rickshaw availabili,0,0,"No research, data, or observations cited to support design claims.",1,1,"Explicitly states three assumptions: smartphones, location services, mobile data access.",
This solution will improve the mental health of students preparing for competitive exams,0,0,"Claim asserted without research, data, or prior work cited.",0,0,"No explicit conditions, dependencies, or acknowledged uncertainties stated.",
Exposure to coding concepts improves logical thinking in children. Our visual programming curriculum for grades 3-5 develops computational thinking through game,0,0,"Claims improvement without citing research, data, or user studies.",1,0,No explicit statement of dependencies or conditions for success.,YES
Our scholarship programme might increase higher education access for marginalised students. We cover tuition fees for first-generation learners. How fee coverag,0,0,"No research, data, or prior work cited to support the claim.",1,1,"Text explicitly names unstated dependencies: living expenses, academic prep gaps, social barriers.",
"Urban flooding in Indian cities worsens each monsoon season, causing property damage and disrupting livelihoods. Drainage systems are inadequate for current rai",0,0,"Claims stated without data, research, or specific findings cited.",0,0,"No explicit conditions, dependencies, or acknowledged uncertainties named.",
Farmers in Karnataka coffee-growing regions need shade tree management guidance to balance coffee production with ecosystem services when maximising coffee yiel,1,1,"Programme with 93 farmers; yield, pollinator, erosion outcomes reported.",1,1,"Explicitly states assumptions about feasibility, market pricing, farmer acceptance.",
Credit tracking eliminated Ahmedabad chai shop disputes but long-term vendor-customer relationship effects weren't assessed. Dispute elimination was measured bu,1,1,Text cites observed outcome: dispute elimination was measured in Ahmedabad chai shops.,1,1,Explicitly acknowledges unassessed effects and unstated dependencies on relationship dynamics and trust.,
Our forest conservation programme will reverse all environmental degradation. Biodiversity loss will be completely halted. Every degraded ecosystem will be full,0,0,"No data, research, observations, or prior outcomes cited.",0,0,"No explicit conditions, dependencies, or acknowledged uncertainties stated.",
The tool will revolutionise design education and practice in India,0,0,"Claim of revolution with no supporting data, research, or prior work cited.",0,0,"No explicit statement of conditions, dependencies, or prerequisites for success.",
X-linked agammaglobulinemia children need immunoglobulin replacement for infection prevention. Our treatment support programme serves 40 patients across South I,1,1,Cites infection rate reduction (70%) for enrolled patients.,1,1,Explicitly states two assumptions: family adherence and government scheme coverage.,
Last-mile connectivity is poor. Our integrated transit app solves this.,0,0,"Claims poor connectivity and solution without data, research, or observation.",0,0,"No explicit assumptions, dependencies, or design limitations named.",
The evaluation will use randomised controlled trial methodology.,1,0,Names a method; no findings or results reported.,0,0,No explicit assumptions or dependencies stated.,YES
The programme will end child labour in the textile industry.,0,0,"No research, data, or prior work cited to support claim.",0,0,"No explicit conditions, dependencies, or uncertainties acknowledged.",
Visual progress indicators will motivate users to complete their health goals,0,0,"Claim asserted without research, data, or prior work cited.",1,0,No explicit statement of required conditions or dependencies named.,YES
The programme assumes shelter provision will enable rehabilitation. We believe counselling will lead to trauma recovery. The theory assumes vocational training ,0,0,"Claims stated without supporting data, research, or observations.",1,1,"Text explicitly names three assumptions: shelter enables rehabilitation, counselling leads recovery, training achieves r",
Telemedicine will reduce travel for Kutch patients to Bhuj hospital,0,0,"Claim asserted without data, research, or observation supporting it.",1,0,No explicit statement of dependencies or conditions for success named.,YES
Young people struggle to access mental health support due to stigma. Our anonymous chatbot provides initial screening and referrals for college students in Bang,1,1,Survey of 500 students with 73% preference finding cited.,1,1,Acknowledges long-term clinical outcomes require tracking; unstated dependency.,
The programme reaches significant numbers. Many villages are covered. Implementation extends across the region. Services are available to a wide population.,0,0,Scale claims without outcomes or findings; no data or research cited.,0,0,"No explicit conditions, dependencies, or acknowledged uncertainties stated.",
Longan farmers face limited consumer awareness for dragon eye fruit. Positioning targets premium fruit markets. Our programme covers 35 growers in Tamil Nadu's ,0,0,"Scale and scope described; no findings, data, or outcomes reported.",1,0,"No explicit conditions, dependencies, or acknowledged uncertainties stated.",YES
Children with attention deficit conditions at schools in Hyderabad need classroom accommodation guidance for teachers to support learning when undiagnosed or un,1,1,"Programme across 23 schools with reported outcomes: 47% engagement improvement, 53% behaviour reduction.",1,1,Explicitly states assumptions about teacher willingness/capability translation and classroom adjustments addressing prim,
The sanitation programme seems to potentially improve hygiene. Communities appear somewhat cleaner. There could be health benefits emerging. Conditions might be,0,0,"Only vague assertions ('seems', 'appears', 'could', 'might'). No data, research, or findings cited.",0,0,"No explicit assumptions, dependencies, or conditions for success named.",
Literature suggests portable skill certification improves wages for migrant construction workers,0,1,References literature as support for the wage-improvement claim.,0,0,No explicit assumptions named; dependencies unstated.,YES
A news article from 2019 mentioned water scarcity in Rajasthan. Our smart irrigation solution targets farmers in the Thar desert region.,0,1,References a news article citing water scarcity observation in target region.,0,0,No explicit conditions or dependencies named for design success.,YES
Reducing load time will decrease bounce rates and improve user retention,0,0,"Claim asserted without supporting data, research, or citations.",1,0,No explicit statement of dependencies or conditions for success.,YES
Introducing smokeless chulhas will reduce respiratory illness among women. Clean combustion eliminates indoor air pollution. Our programme distributes improved ,0,0,Claims lack support; programme scale alone is not evidence of outcome.,1,0,No explicit assumptions named; dependencies unstated.,YES
"Diagnostic delays worsen outcomes for tuberculosis patients. AI-assisted X-ray screening provides instant preliminary analysis at district hospitals, enabling f",0,0,"Claims stated without supporting data, research, or findings cited.",1,0,"No explicit conditions, dependencies, or uncertainties acknowledged.",YES
We spoke with an Anganwadi worker who found government forms complicated and time-consuming to complete. Simplified data collection interfaces will consequently,0,1,References user research: spoke with Anganwadi worker about observed problem.,1,0,No explicit statement of dependencies or conditions for success named.,YES
Interviews with seven block health coordinators in Rajasthan revealed data aggregation workflow inefficiencies. Manual report compilation from paper records con,1,1,Interviews with seven coordinators; observed manual workflow inefficiency; quantified time cost.,0,1,Acknowledges unexplored consequences; names gap in understanding impact on planning quality.,YES
Civic participation could be stronger. Government services are sometimes hard to access. Digital platforms might improve citizen-government interaction. We're t,0,0,"Claims lack support; no data, research, or observations cited.",0,0,No explicit assumptions named; prerequisites unstated and unacknowledged.,
We assume that schools will allocate dedicated time for vision screening during school hours,0,0,"No research, data, or prior work cited to support the claim.",1,1,Explicitly states 'We assume that' — named prerequisite for design success.,
Pedestrian safety in Indian cities is systematically neglected in favour of motorised traffic. Footpaths are encroached upon or non-existent in many areas forci,0,0,"Claims about pedestrian neglect lack citations, data, or specific observations.",0,0,No explicit assumptions named; conditions for success not stated.,
"The handloom revival programme will preserve endangered weaving traditions while supporting 10,000 artisan families across five states, ensuring cultural herita",0,0,"Scale and reach stated; no outcome, finding, or research cited.",0,0,"No explicit conditions, dependencies, or acknowledged uncertainties named.",
Community health initiative increased Dharavi utilisation but service quality and health outcome measurement weren't included. Visit increases were tracked but ,1,1,Text cites observed outcome: visit increases were tracked in Dharavi initiative.,1,1,"Explicitly names unstated dependencies: service quality adequacy, patient treatment adherence required for health improv",
Vernacular medium students in Tamil Nadu lack English course materials,0,0,"Assertion without cited research, data, or observation.",0,0,"No explicit statement of conditions, dependencies, or acknowledged uncertainties.",
"Children need safe play spaces in urban neighbourhoods. If we build community playgrounds, children's physical activity will increase and obesity rates will dec",0,0,"Claims lack support; no research, data, or prior work cited.",1,0,Prerequisites unstated; no explicit acknowledgment of conditions or dependencies.,YES
The app assumes users have stable internet connectivity throughout the day.,0,0,"No observations, data, research, or prior work cited.",1,1,Explicitly states assumption: users must have stable internet connectivity.,
The skill training has made all participants employable. Graduates now have secure jobs. Unemployment has been solved for trained youth. Our programme delivers ,0,0,"Claims stated as facts without data, research, or findings cited.",0,0,No explicit assumptions named; prerequisites and conditions unstated.,
Published findings support the hypothesis that community-based approaches improve outcomes for chronic disease management,0,1,References published findings that support the claim.,1,0,No explicit assumptions or dependencies named.,YES
Women entrepreneurs in Assam tea-growing communities need e-commerce platform access to sell processed tea directly to urban consumers who value handmade specia,1,1,Pilot with 47 women-led enterprises; 52% price improvement; customer reach expansion documented.,1,1,"Explicitly names constraints: <500kg annual production, domestic shipping only, quality standards required, English prof",
Ration card applicants in Gujarat face uncertainty about processing timelines with no way to check application progress. Survey of one thousand two hundred appl,1,1,"Survey of 1,200 applicants with 53% anxiety reduction finding cited.",1,1,Explicitly states assumption: applicants must have registered mobile numbers for SMS.,
Patients with type two diabetes in tier-two cities need continuous glucose monitoring education to interpret device data when affordable monitors become availab,1,1,"Cites programme with 93 patients; reports 54% glycaemic control improvement, 63% dietary adjustment increase.",1,1,Explicitly states 'We assume that interpretation enables appropriate response' and names design constraints/exclusions.,
Coaching students in Kota will have personal smartphones with headphone access for private wellness content consumption. Students will have five to ten minutes ,0,0,"No research, data, or observations support the claims about student access or availability.",1,1,"Explicitly names three dependencies: smartphone access, headphone access, five-to-ten-minute daily availability.",
Bael farmers face fruit processing challenges from hard shell. Our pulp extraction unit serves 180 growers in Uttar Pradesh's Varanasi district. Mechanised proc,0,0,Scale (180 growers) stated without outcome data. Market observations not detailed or quantified.,1,0,"No explicit conditions, dependencies, or limitations named. Claims presented as facts.",YES
